Processed PCA name,Original PCA name,PCA location,institution_code,collection_code,catalog_number,media.part,Contrast Enhanced,Family,Genus,Species,Date Created,Voxel_x_spacing,Voxel_y_spacing,Voxel_z_spacing,slice_thickness,media.unit,date_collected,Collector,specimen_description,latitude,longitude,ct.exposure_time,imaging_event.ct.flux_normalization,imaging_event.ct.pixel_spacing_calibration,imaging_event.ct.shading_correction,imaging_event.ct.ie_filter,imaging_event.ct.frame_averaging,imaging_event.ct.projections,imaging_event.ct.voltage,imaging_event.ct.power,imaging_event.ct.amperage,imaging_event.ct.surrounding_material,imaging_event.ct.xray_tube_type,imaging_event.ct.target_type,imaging_event.ct.detector_type,imaging_event.ct.detector_pixels_x,imaging_event.ct.detector_pixel_size_x,imaging_event.ct.detector_pixels_y,imaging_event.ct.detector_pixel_size_y,imaging_event.ct.detector_configuration,imaging_event.ct.source_object_distance,imaging_event.ct.source_detector_distance,imaging_event.ct.target_material,Scanner,Scan opperator,Data owner,Descriptor,IS on morphosource (link),Unnamed: 49,Unnamed: 50,Unnamed: 51,Data from idigbio,Match_Found,Morphosource_URL,Match_Score,x_voxel_spacing_mm,y_voxel_spacing_mm,z_voxel_spacing_mm,voxel_spacing_verified,api_voxel_spacing
UF-HERP-180711-DICECT-HEAD,uf-herp-180711-dicect-head.pca,Lepidosaura/Agamidae/Agama agama UF-H-180711/DICECT/DICECT-head/uf-herp-180711-dicect-head.pca,UF,Herp,180711,DICECT,True,agamidae,Agama, ,2021-12-19 14:04:32,0.01994395,0.01994395,0.01994395,0.01994395,mm,2017-04-23,"jongsma, gregory; ngouala, h.; zassi-boulou, a.",,-4.7110278,12.2748611,200.098,no,,no,0.5Al,3.0,2400,200,0.02,100,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),80.0525625,802.77534791,tungston,,,,,,,,,,no,,0,0.01994395,0.01994395,0.01994395,Skipped,
UF-herp-187156-BODY,UF-187156-body.pca,Lepidosaura/Agamidae/Agama mucosoensis UF-H-187156/Body/UF-187156-body.pca,UF,Herp,187156,BODY,False,agamidae,Agama, mucosoensis,2023-09-14 22:13:31,0.09024235,0.09024235,0.09024235,0.09024235,mm,2016-05-31,"ceriaco, luis; bandeira, suzanna; agarwal, ishan",,-13.3721944,18.1839444,200.098,no,,no,None,3.0,1000,80,0.016,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),363.05,804.6111534,tungston,,,,,,,,,,no,,0,0.09024235,0.09024235,0.09024235,Skipped,
UF-HERP-187156-HEAD,UF-herp-187156-head.pca,Lepidosaura/Agamidae/Agama mucosoensis UF-H-187156/Head/UF-herp-187156-head.pca,UF,Herp,187156,HEAD,False,agamidae,Agama, mucosoensis,2023-09-14 22:13:31,0.02878165,0.02878165,0.02878165,0.02878165,mm,2016-05-31,"ceriaco, luis; bandeira, suzanna; agarwal, ishan",,-13.3721944,18.1839444,200.098,no,,no,None,3.0,2200,80,0.016,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),115.790188,804.6111534,tungston,,,,,,,,,,no,,0,0.02878165,0.02878165,0.02878165,Skipped,
AMB10582 10220 MCZ-A-H-36444 COPY 3,AMB10582 10220 MCZ-A-H-36444 copy 3.pca,Lepidosaura/Agamidae/Agama planiceps CAS-herp-263015 Agama schacki CAS-herp-263035 Gerrhossaurus nigrolineatus MCZ-A-H-36444/ Body/AMB10582 10220 MCZ-A-H-36444 copy 3.pca,AMB10582,herp,MCZ,A,False,Agamidae,Agama,planiceps,2023-09-14 22:13:31,0.10515418,0.10515418,0.10515418,0.10515418,mm,Not on IdigBio,Not on IdigBio,,Not on IdigBio,Not on IdigBio,200.098,no,,no,None,3.0,1000,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),423.352875,805.20404924,tungston,,,,,,,,,,yes,https://www.morphosource.org/concern/media/000037859?locale=en,70,0.10515418,0.10515418,0.10515418,No,"(0.02395374, 0.02395374, 0.02395374)"
CAS-HERP-263015-BODY,CAS-herp-263015-body.pca,Lepidosaura/Agamidae/Agama planiceps CAS-herp-263015 Agama schacki CAS-herp-263035 Gerrhossaurus nigrolineatus MCZ-A-H-36444/ Body/CAS-herp-263015-body.pca,CAS,herp,263015,BODY,False,agamidae,Agama, planiceps,2023-09-14 22:13:31,0.10515418,0.10515418,0.10515418,0.10515418,mm,2016-12-01,"l.m.p. ceriaco, s. bandeira, and i. agarwal",,-16.19125,12.85595,200.098,no,,no,None,3.0,1000,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),423.352875,805.20404924,tungston,,,,,,,,,,no,,0,0.10515418,0.10515418,0.10515418,Skipped,
CAS-HERP-263035-BODY,CAS-herp-263035-body.pca,Lepidosaura/Agamidae/Agama planiceps CAS-herp-263015 Agama schacki CAS-herp-263035 Gerrhossaurus nigrolineatus MCZ-A-H-36444/ Body/CAS-herp-263035-body.pca,CAS,herp,263035,BODY,False,agamidae,Agama, schacki,2023-09-14 22:13:31,0.10515418,0.10515418,0.10515418,0.10515418,mm,2016-11-19,"l.m.p. ceriaco, s. bandeira, and i. agarwal",,-13.7864611111,13.2572305556,200.098,no,,no,None,3.0,1000,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),423.352875,805.20404924,tungston,,,,,,,,,,no,,0,0.10515418,0.10515418,0.10515418,Skipped,
AMB10582 10220 MCZ-A-H-36444,AMB10582 10220 MCZ-A-H-36444.pca,Lepidosaura/Agamidae/Agama planiceps CAS-herp-263015 Agama schacki CAS-herp-263035 Gerrhossaurus nigrolineatus MCZ-A-H-36444/Head/AMB10582 10220 MCZ-A-H-36444.pca,AMB10582,herp,MCZ,A,False,Agamidae,Agama,planiceps,2020-07-08 22:04:14,0.04053094,0.04053094,0.04053094,0.04053094,mm,Not on IdigBio,Not on IdigBio,,Not on IdigBio,Not on IdigBio,200.098,no,,no,None,3.0,2200,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),163.178375,805.20404924,tungston,,,,,,,,,,no,,0,0.04053094,0.04053094,0.04053094,Skipped,
CAS-HERP-263015-HEAD,CAS-herp-263015-head.pca,Lepidosaura/Agamidae/Agama planiceps CAS-herp-263015 Agama schacki CAS-herp-263035 Gerrhossaurus nigrolineatus MCZ-A-H-36444/Head/CAS-herp-263015-head.pca,CAS,herp,263015,HEAD,False,agamidae,Agama, planiceps,2023-09-14 22:13:31,0.04053094,0.04053094,0.04053094,0.04053094,mm,2016-12-01,"l.m.p. ceriaco, s. bandeira, and i. agarwal",,-16.19125,12.85595,200.098,no,,no,None,3.0,2200,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),163.178375,805.20404924,tungston,,,,,,,,,,no,,0,0.04053094,0.04053094,0.04053094,Skipped,
CAS-HERP-263035-HEAD,CAS-herp-263035-head.pca,Lepidosaura/Agamidae/Agama planiceps CAS-herp-263015 Agama schacki CAS-herp-263035 Gerrhossaurus nigrolineatus MCZ-A-H-36444/Head/CAS-herp-263035-head.pca,CAS,herp,263035,HEAD,False,agamidae,Agama, schacki,2023-09-14 22:13:31,0.04053094,0.04053094,0.04053094,0.04053094,mm,2016-11-19,"l.m.p. ceriaco, s. bandeira, and i. agarwal",,-13.7864611111,13.2572305556,200.098,no,,no,None,3.0,2200,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),163.178375,805.20404924,tungston,,,,,,,,,,no,,0,0.04053094,0.04053094,0.04053094,Skipped,
CAS-HERP-263035-BODY,CAS-herp-263035-body.pca,Lepidosaura/Agamidae/Agama schacki CAS-herp-263035/Body/CAS-herp-263035-body.pca,CAS,herp,263035,BODY,False,agamidae,Agama, schacki,2023-09-14 22:13:31,0.0998363,0.0998363,0.0998363,0.0998363,mm,2016-11-19,"l.m.p. ceriaco, s. bandeira, and i. agarwal",,-13.7864611111,13.2572305556,200.098,no,,no,None,3.0,1250,80,0.016,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),401.989625,805.2975356,tungston,,,,,,,,,,no,,0,0.0998363,0.0998363,0.0998363,Skipped,
UF-herp-112989,UF112989.pca,Lepidosaura/Agamidae/Bronchocela cristatella UF112989/Scan1/UF112989.pca,UF,Herp,112989,entire specimen,False,agamidae,Bronchocela, cristatella,2020-07-06 22:11:45,0.04617616,0.04617616,0.04617616,0.04617616,mm,1908-05-08,"scroder, e.",,,,200.098,no,,no,None,3.0,1500,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),183.031087,792.75137483,tungston,,,,,,,,,,yes,https://www.morphosource.org/concern/media/000035808?locale=en,85,0.04617616,0.04617616,0.04617616,Yes,"(0.04617616, 0.04617616, 0.04617616)"
UF-herp-117384,UF117384.pca,Lepidosaura/Agamidae/Bronchocela cristatella UF117384/Body/UF117384.pca,UF,Herp,117384,entire specimen,False,agamidae,Bronchocela, cristatella,2020-07-08 22:06:55,0.07821573,0.07821573,0.07821573,0.07821573,mm,,"kopstein, f.",,,,200.098,no,,no,None,3.0,1000,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),310.028149,792.75137483,tungston,,,,,,,,,,yes,https://www.morphosource.org/concern/media/000035835?locale=en,85,0.07821573,0.07821573,0.07821573,No,"(0.02029964, 0.02029964, 0.02029964)"
UF-herp-117384,UF117384.pca,Lepidosaura/Agamidae/Bronchocela cristatella UF117384/Head/1/UF117384.pca,UF,Herp,117384,entire specimen,False,agamidae,Bronchocela, cristatella,2020-07-08 22:14:03,0.02029964,0.02029964,0.02029964,0.02029964,mm,,"kopstein, f.",,,,200.098,no,,no,None,3.0,2200,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),80.46283696,792.75137483,tungston,,,,,,,,,,no,,0,0.02029964,0.02029964,0.02029964,Skipped,
UF-herp-117384,UF117384.pca,Lepidosaura/Agamidae/Bronchocela cristatella UF117384/Head/UF117384.pca,UF,Herp,117384,entire specimen,False,agamidae,Bronchocela, cristatella,2020-07-08 22:06:49,0.01862968,0.01862968,0.01862968,0.01862968,mm,,"kopstein, f.",,,,200.098,no,,no,None,3.0,2200,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),73.84352446,792.75137483,tungston,,,,,,,,,,no,,0,0.01862968,0.01862968,0.01862968,Skipped,
UF-H-79470,UF-H-79470.pca,Lepidosaura/Agamidae/Calotes versicolor farooqi UF-H-79470/UF-H-79470.pca,UF,Herp,79470,entire specimen,False,agamidae,Calotes, versicolor farooqi,2020-07-04 22:00:51,0.06109022,0.06109022,0.06109022,0.06109022,mm,1990-06-15,pakistan museum of natural history,,,,200.098,no,,no,0.1 mm Cu,3.0,1250,120,0.03,250,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),246.0135625,805.41067323,tungston,,,,,,,,,,yes,https://www.morphosource.org/concern/media/000078669?locale=en,85,0.06109022,0.06109022,0.06109022,Yes,"(0.06109022, 0.06109022, 0.06109022)"
UF-HERP-84151-BODY,UF-herp-84151-body.pca,Lepidosaura/Agamidae/Ceratophora stoddartii-UF-herp-84151/Body/UF-herp-84151-body.pca,UF,Herp,84151,BODY,False,agamidae,Ceratophora, stoddartii,2023-09-14 22:13:31,0.06218579,0.06218579,0.06218579,0.06218579,mm,,"porras, louis",,,,200.098,no,,no,None,3.0,1200,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),246.489337,792.75137483,tungston,,,,,,,,,,yes,https://www.morphosource.org/concern/media/000036108?locale=en,85,0.06218579,0.06218579,0.06218579,Yes,"(0.06218579, 0.06218579, 0.06218579)"
UF-HERP-84151-HEAD,UF-herp-84151-head.pca,Lepidosaura/Agamidae/Ceratophora stoddartii-UF-herp-84151/Head/UF-herp-84151-head.pca,UF,Herp,84151,HEAD,False,agamidae,Ceratophora, stoddartii,2023-09-14 22:13:31,0.02029964,0.02029964,0.02029964,0.02029964,mm,,"porras, louis",,,,200.098,no,,no,None,3.0,2200,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),80.462837,792.75137483,tungston,,,,,,,,,,no,,0,0.02029964,0.02029964,0.02029964,Skipped,
UF-herp-86474,UF86474.pca,Lepidosaura/Agamidae/Cophotis ceylanica UF86474/Body/UF86474.pca,UF,Herp,86474,entire specimen,False,agamidae,Cophotis, ceylanica,2020-07-05 22:07:02,0.04312104,0.04312104,0.04312104,0.04312104,mm,,"porras, louis",,,,200.098,no,,no,None,3.0,1000,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),170.92133696,792.75137483,tungston,,,,,,,,,,yes,https://www.morphosource.org/concern/media/000040336?locale=en,85,0.04312104,0.04312104,0.04312104,Yes,"(0.04312104, 0.04312104, 0.04312104)"
UF-herp-86474,UF86474.pca,Lepidosaura/Agamidae/Cophotis ceylanica UF86474/Head/UF86474.pca,UF,Herp,86474,entire specimen,False,agamidae,Cophotis, ceylanica,2020-07-05 22:11:42,0.01238001,0.01238001,0.01238001,0.01238001,mm,,"porras, louis",,,,200.098,no,,no,None,3.0,2200,100,0.02,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),49.071337,792.75137483,tungston,,,,,,,,,,no,,0,0.01238001,0.01238001,0.01238001,Skipped,
DRACO UF,Draco UF.pca,Lepidosaura/Agamidae/Draco blanfordi UF61535/1/Scan1/Draco UF.pca,DRACO,herp,,entire specimen,False,Agamidae,Draco,blanfordi,2020-07-06 22:22:50,0.04396473,0.04396473,0.04396473,0.04396473,mm,Not on IdigBio,Not on IdigBio,,Not on IdigBio,Not on IdigBio,500.093,no,,no,None,3.0,1000,100,0.018,180,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),175.86908696,800.0462043,tungston,,,,,,,,,,no,,0,0.04396473,0.04396473,0.04396473,Skipped,
UF-HERP-61535-BODY,UF-herp-61535-body.pca,Lepidosaura/Agamidae/Draco blanfordi UF61535/tiff_stacks/UF-herp-61535-body.pca,UF,Herp,61535,BODY,False,agamidae,Draco, blanfordii,2023-09-26 22:14:38,0.04396473,0.04396473,0.04396473,0.04396473,mm,,,,,,500.093,no,,no,None,3.0,1000,100,0.018,180,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),175.86908696,800.0462043,tungston,,,,,,,,,,yes,https://www.morphosource.org/concern/media/000011051?locale=en,85,0.04396473,0.04396473,0.04396473,Yes,"(0.04396473, 0.04396473, 0.04396473)"
UF-herp-19920,UF19920.pca,Lepidosaura/Agamidae/Draco dussumieri UF19920/Body/UF19920.pca,UF,Herp,19920,entire specimen,False,agamidae,Draco, dussumieri,2020-07-11 22:05:12,0.04152331,0.04152331,0.04152331,0.04152331,mm,,,,,,200.098,no,,no,None,3.0,1200,80,0.016,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),166.022587,799.65972638,tungston,,,,,,,,,,yes,https://www.morphosource.org/concern/media/000036115?locale=en,85,0.04152331,0.04152331,0.04152331,No,"(0.03900252, 0.03900252, 0.03900252)"
UF-herp-19920,UF19920.pca,Lepidosaura/Agamidae/Draco dussumieri UF19920/Head/UF19920.pca,UF,Herp,19920,entire specimen,False,agamidae,Draco, dussumieri,2020-07-11 22:03:13,0.0160105,0.0160105,0.0160105,0.0160105,mm,,,,,,200.098,no,,no,None,3.0,1200,80,0.016,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),64.01477446,799.65972638,tungston,,,,,,,,,,no,,0,0.0160105,0.0160105,0.0160105,Skipped,
UF-herp-63893,UF63893.pca,Lepidosaura/Agamidae/Draco maculatus UF63893/Body/UF63893.pca,UF,Herp,63893,entire specimen,False,agamidae,Draco, maculatus,2020-07-07 22:12:57,0.06401892,0.06401892,0.06401892,0.06401892,mm,,,,,,200.098,no,,no,None,3.0,1000,80,0.016,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),255.966774,799.65972638,tungston,,,,,,,,,,yes,https://www.morphosource.org/concern/media/000665171?locale=en,85,0.06401892,0.06401892,0.06401892,Incomplete API data,"(None, None, None)"
UF-herp-63893,UF63893.pca,Lepidosaura/Agamidae/Draco maculatus UF63893/Head/UF63893.pca,UF,Herp,63893,entire specimen,False,agamidae,Draco, maculatus,2020-07-07 22:13:35,0.01602051,0.01602051,0.01602051,0.01602051,mm,,,,,,200.098,no,,no,None,3.0,1200,80,0.016,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),64.05477446,799.65972638,tungston,,,,,,,,,,no,,0,0.01602051,0.01602051,0.01602051,Skipped,
UF-herp-62749,UF62749.pca,Lepidosaura/Agamidae/Draco melanopogon UF62749/Body/UF62749.pca,UF,Herp,62749,entire specimen,False,agamidae,Draco, melanopogon,2020-07-03 22:23:17,0.0517704,0.0517704,0.0517704,0.0517704,mm,1984-03-13,"becker, peter",,,,200.098,no,,no,None,3.0,1000,80,0.016,200,air,,reflection, Scintillator (Phosphor used),2024,0.2,2024,0.2,Area (single or tiled detector),206.993524,799.65972638,tungston,,,,,,,,,,yes,https://www.morphosource.org/concern/media/000037033?locale=en,85,0.0517704,0.0517704,0.0517704,No,"(0.01604333, 0.01604333, 0.01604333)"
